CustomerID,Frequency,Monetary,avg_basket_value,avg_items_per_invoice,Recency,Tenure,gap_mean,gap_median,gap_std,unique_products,avg_unit_price,return_rate,is_churned,Country_Belgium,Country_France,Country_Germany,Country_Netherlands,Country_Other,Country_Portugal,Country_Spain,Country_Switzerland,Country_United Kingdom
12346,1,77556.46,77556.46,74285.0,235,400,0.0,0.0,0.0,27,6.1000000000000005,0.0,1,False,False,False,False,False,False,False,False,True
12347,1,4114.18,4114.18,2418.0,39,274,0.0,0.0,0.0,107,2.614666666666667,0.0,0,False,False,False,False,True,False,False,False,False
12348,1,1709.4,1709.4,2497.0,158,189,0.0,0.0,0.0,25,3.1374999999999997,0.0,0,False,False,False,False,True,False,False,False,False
12349,1,2671.14,2671.14,993.0,317,181,0.0,0.0,0.0,90,8.581764705882353,0.0,0,False,False,False,False,True,False,False,False,False
12352,1,1905.61,1905.61,442.0,172,130,0.0,0.0,0.0,38,19.601428571428574,0.0,0,False,False,False,False,True,False,False,False,False
12353,1,406.76,406.76,212.0,114,204,0.0,0.0,0.0,23,2.6283333333333334,0.0,1,False,False,False,False,True,False,False,False,False
12355,1,947.61,947.61,543.0,124,353,0.0,0.0,0.0,35,3.069428571428572,0.0,1,False,False,False,False,True,False,False,False,False
12356,1,6315.33,6315.33,3412.0,155,179,0.0,0.0,0.0,104,3.025177304964539,0.0,0,False,False,False,False,False,True,False,False,False
12358,1,3203.87,3203.87,931.0,60,581,0.0,0.0,0.0,56,4.982285714285714,0.0,0,False,False,False,False,True,False,False,False,False
12359,1,6059.09,6059.09,2095.0,99,544,0.0,0.0,0.0,230,7.256461538461538,0.0,0,False,False,False,False,True,False,False,False,False
12360,1,3209.11,3209.11,1968.0,22,543,0.0,0.0,0.0,123,3.1225766871165646,0.0,0,False,False,False,False,True,False,False,False,False
12361,1,511.25,511.25,235.0,197,394,0.0,0.0,0.0,18,3.8706896551724137,0.0,1,True,False,False,False,False,False,False,False,False
12362,1,1877.35,1877.35,989.0,30,618,0.0,0.0,0.0,89,4.168396226415094,0.0,0,True,False,False,False,False,False,False,False,False
12363,1,552.0,552.0,408.0,19,132,0.0,0.0,0.0,23,2.3117391304347827,0.0,1,False,False,False,False,True,False,False,False,False
12369,1,1791.15,1791.15,1241.0,323,228,0.0,0.0,0.0,90,3.148924731182796,0.0,1,False,False,False,False,True,False,False,False,False
12370,1,3581.03,3581.03,2225.0,184,394,0.0,0.0,0.0,150,3.499597701149425,0.0,0,False,False,False,False,True,False,False,False,False
12371,1,2179.42,2179.42,845.0,319,235,0.0,0.0,0.0,91,4.05625,0.0,0,False,False,False,False,False,False,False,True,False
12372,1,914.9200000000001,914.9200000000001,592.0,122,83,0.0,0.0,0.0,32,2.9382051282051282,0.0,0,False,False,False,False,True,False,False,False,False
12373,1,1127.65,1127.65,516.0,221,362,0.0,0.0,0.0,36,4.627450980392157,0.0,1,False,False,False,False,True,False,False,False,False
12374,1,2246.29,2246.29,1020.0,331,166,0.0,0.0,0.0,47,2.9894,0.0,0,False,False,False,False,True,False,False,False,False
12376,1,503.15,503.15,240.0,299,28,0.0,0.0,0.0,11,8.03076923076923,0.0,1,False,False,False,False,False,False,False,True,False
12377,1,3426.32,3426.32,2105.0,225,274,0.0,0.0,0.0,129,2.7402631578947365,0.0,1,False,False,False,False,False,False,False,True,False
12378,1,5416.32,5416.32,3316.0,39,432,0.0,0.0,0.0,281,3.380099667774086,0.0,1,False,False,False,False,False,False,False,True,False
12379,1,1227.82,1227.82,619.0,80,364,0.0,0.0,0.0,50,3.0293442622950817,0.0,0,True,False,False,False,False,False,False,False,False
12380,1,7559.04,7559.04,2521.0,95,476,0.0,0.0,0.0,125,11.884784688995216,0.0,0,True,False,False,False,False,False,False,False,False
12383,1,1850.56,1850.56,1532.0,94,167,0.0,0.0,0.0,84,3.086969696969697,0.0,1,True,False,False,False,False,False,False,False,False
12386,1,660.8,660.8,568.0,247,29,0.0,0.0,0.0,10,2.54,0.0,1,False,False,False,False,True,False,False,False,False
12388,1,2788.79,2788.79,1299.0,58,434,0.0,0.0,0.0,77,2.9089655172413793,0.0,0,False,False,False,False,True,False,False,False,False
12389,1,1433.33,1433.33,614.0,312,253,0.0,0.0,0.0,41,2.6542857142857144,0.0,1,False,False,False,False,True,False,False,False,False
12391,1,2312.53,2312.53,920.0,374,198,0.0,0.0,0.0,159,4.465524861878453,0.0,0,False,False,False,False,True,False,False,False,False
12393,1,1877.95,1877.95,1017.0,155,182,0.0,0.0,0.0,53,2.5658536585365854,0.0,0,False,False,False,False,True,False,False,False,False
12395,1,3948.21,3948.21,3244.0,22,490,0.0,0.0,0.0,122,3.4763917525773196,0.0,0,True,False,False,False,False,False,False,False,False
12399,1,1962.3,1962.3,2198.0,29,525,0.0,0.0,0.0,67,2.0414545454545454,0.0,1,True,False,False,False,False,False,False,False,False
12402,1,1256.9,1256.9,584.0,233,347,0.0,0.0,0.0,43,3.3049999999999997,0.0,1,True,False,False,False,False,False,False,False,False
12406,1,4596.31,4596.31,2391.0,93,513,0.0,0.0,0.0,81,2.7996363636363633,0.0,0,False,False,False,False,True,False,False,False,False
12407,1,1407.3600000000001,1407.3600000000001,1237.0,44,130,0.0,0.0,0.0,50,3.0053125,0.0,0,True,False,False,False,False,False,False,False,False
12408,1,3586.27,3586.27,1864.0,8,399,0.0,0.0,0.0,90,3.130220588235294,0.0,0,True,False,False,False,False,False,False,False,False
12409,1,18553.7,18553.7,10734.0,92,382,0.0,0.0,0.0,165,3.2066210045662102,0.0,0,False,False,False,False,False,False,False,True,False
12410,1,1013.71,1013.71,341.0,218,193,0.0,0.0,0.0,36,6.01475,0.0,1,False,False,False,False,False,False,False,True,False
12412,1,2260.79,2260.79,1767.0,47,401,0.0,0.0,0.0,74,2.464954954954955,0.0,0,False,False,False,False,True,False,False,False,False
12413,1,805.25,805.25,238.0,146,166,0.0,0.0,0.0,37,6.364146341463415,0.0,0,False,True,False,False,False,False,False,False,False
12414,1,952.41,952.41,495.0,127,246,0.0,0.0,0.0,21,16.35,0.0,1,False,False,False,False,True,False,False,False,False
12415,1,121631.72,121631.72,80774.0,9,428,0.0,0.0,0.0,438,2.9801970443349757,0.0,0,False,False,False,False,True,False,False,False,False
12417,1,5984.33,5984.33,2567.0,16,626,0.0,0.0,0.0,252,5.386411042944785,0.0,0,True,False,False,False,False,False,False,False,False
12418,1,2021.2,2021.2,1088.0,22,517,0.0,0.0,0.0,90,3.3453921568627454,0.0,1,False,False,False,False,False,False,False,True,False
